XP,Cluster_Observables_Vector
-0.5592193811779357,1
0.6225254389795671,2
0.9469091296196122,2
2.173516103036961,2
-0.893005163960079,1
-0.9739951898298618,1
-2.0439501363213743,0
-0.08720244204491792,1
0.2636394481048215,1
1.1260238055543215,2
0.40065973559409074,1
0.2968486932042333,1
0.4997363518522765,2
0.045894147216544466,1
-1.4926377608075863,0
-2.7014019151332582,0
-2.4971219961050313,0
-0.2519707053366838,1
-0.6147092924453338,1
-1.5048017894918566,0
-2.0102906906477567,0
0.2630416000853552,1
0.1873830387398044,1
-0.6507620087271,1
-1.850506308247633,0
-1.9711940303094664,0
-2.0354714088028283,0
1.0406876831796712,2
1.3672598499105466,2
1.3697845923489504,2
0.3400938991413572,1
0.3670959728056149,1
2.009436437381483,2
1.000488339595663,2
-0.2797009134049339,1
1.4593456819155115,2
1.5340020817224904,2
2.277439603765905,2
0.887354710891121,2
-0.7614097535455489,1
0.34679635201703485,1
0.705902319143392,2
0.17552773513581346,1
-0.05607522578056785,1
-1.385298337110485,0
0.911233133795095,2
-1.0891469447346833,1
-3.047129395921452,0
-0.30036273346159126,1
-1.215109618380441,1
-0.07424551205949956,1
-1.2379742041437545,0
-0.10424335145067196,1
-0.4230541753235061,1
0.7212671837288851,2
0.6037401191155897,2
0.5605036018226075,2
-0.3293153446226712,1
0.6474338082066736,2
-0.4456761327525901,1
-0.49032246465191703,1
-0.0504169261945979,1
0.9436650338722741,2
0.589104873975275,2
0.20570279204147626,1
-2.8484524148494943,0
-3.003681798813567,0
-2.6071186265087816,0
1.7098951536771392,2
-2.7831746440323677,0
-0.09823007570756434,1
0.5882345265141704,2
0.6728275846267446,2
1.976590566641535,2
-0.5198254089334213,1
-2.575770865008569,0
0.07614385650047797,1
-1.802573639606213,0
0.6284318089988326,2
0.9311241860116429,2
0.3603545431505303,1
1.6788274212411822,2
-1.9793202171463213,0
0.568094087402075,2
-1.4368410722130043,0
0.627668820014125,2
1.7882784600701243,2
-1.9002531210843654,0
1.0624883840960722,2
0.8406447652516847,2
1.0078127097501877,2
-0.6455883395572771,1
1.6235026935799453,2
-2.4636437487845644,0
-3.1949964414594443,0
0.3471204562698301,1
1.2124002509045262,2
2.155927088204497,2
-0.6082865929769226,1
-2.7453601742969047,0
-2.672562120617504,0
0.11389580365503807,1
-0.9812400541569735,1
0.21716848185382212,1
-0.7643099986980613,1
-0.6273187816009169,1
0.6997900195237509,2
2.3083186508778484,2
0.3797237147454109,1
0.21227918089315476,1
-2.9012226955484524,0
1.3395575694404456,2
0.5020422195505134,2
0.2211670711071532,1
0.9273874717574662,2
-1.234059262424513,0
-0.31142037815979035,1
-1.020493457258179,1
0.3054652429981177,1
1.3196237101303376,2
-0.5257791021290241,1
-0.37474321017545714,1
-0.36676301635802877,1
-0.5809344498419551,1
-2.7448904514007837,0
0.676241561442217,2
0.3393473937260556,1
0.05674966177383275,1
-1.402147782026844,0
1.3399654213891652,2
0.36142544470316573,1
0.40042686456536025,1
-0.1970154869765098,1
1.6249748698991768,2
0.02888599715703618,1
0.8203461367434066,2
-2.7807805139981516,0
1.0354850100394244,2
-0.50258996970387,1
-0.298856928015704,1
-0.12031028650313194,1
-1.0675056495148822,1
-0.265947041137036,1
-1.6352701760170936,0
-0.31205184495156996,1
-1.1144254068742425,1
-2.575522695856162,0
1.412860927168515,2
0.1389166472910929,1
2.021839087147951,2
1.9189928559293108,2
0.9618603936456418,2
-1.1930939912651226,1
-0.25720304299247615,1
-0.6840476221823046,1
1.5854254390565883,2
-0.37663895703306244,1
1.973176589826063,2
0.8994858388691138,2
0.24375411364432983,1
0.6524285493579812,2
-2.6307097929647645,0
-0.19839613818713792,1
1.5307795679536902,2
0.2395585367536978,1
0.3533584512528881,1
1.4950302837349208,2
0.1077240202070042,1
0.2485163420731464,1
0.6372243760766518,2
-0.7027746598911677,1
-0.16727846999299675,1
1.837714971777197,2
-2.499698234281137,0
0.967013338820271,2
-0.7797190489882716,1
-0.9820458502352409,1
0.5209372185881962,2
0.854054300432068,2
1.0860055616043518,2
-0.22302515640769402,1
1.4236816212802115,2
0.5285109447835803,2
0.25206684221429054,1
0.6989845313998844,2
0.301167572623756,1
-0.309870855831603,1
0.9462914673936917,2
-0.2366713342201787,1
-0.19494122221202412,1
0.7214725457877321,2
0.949030828076613,2
1.1738664264174061,2
0.6779597470953979,2
-0.4748724752020657,1
1.8594537190969467,2
0.024189829738736034,1
0.863662553905575,2
0.5856419034877698,2
0.5682692761146301,2
1.2435546178325203,2
-0.22416848692851443,1
2.855981206216625,2
0.08984193245138086,1
-0.6523272980013808,1
0.085869584072954,1
0.23519163987258246,1
1.7471486672924166,2
1.690268556744181,2
1.8631982122065256,2
0.20623876911354147,1
0.6651924122227326,2
-0.8673215626046471,1
-0.2688678920576465,1
-2.795371833020877,0
1.0091013005972609,2
-2.4221776896592826,0
-2.716973619107866,0
-0.09088654153736372,1
1.2253090304164296,2
0.1536006768681512,1
0.07363164909023048,1
1.7701012543618573,2
-2.540365432827348,0
-0.17308647812357356,1
-0.6690715960543618,1
1.4986818731247393,2
0.8402023581600199,2
-1.5929314487333996,0
0.11223002497102205,1
-2.1826858625958536,0
0.9941966108376787,2
0.5463631350075894,2
0.6535165377570851,2
-0.5845292344069271,1
1.0216307310110406,2
-0.7961704833533827,1
-0.3356444887378209,1
-0.8849340952248251,1
-0.20498593955830138,1
-0.6732223796904192,1
-0.6211984112413351,1
0.0927281798726072,1
-0.8443063585079875,1
-0.11208388591353105,1
1.3663533712571165,2
0.2619637630335229,1
1.04065690999444,2
0.33165667832398105,1
0.5955532467770625,2
-0.7704484286764292,1
-3.3649812754609094,0
-1.7987973810311007,0
1.3734604441635772,2
1.4012161001023649,2
-2.14631178748654,0
-0.946224235767398,1
0.9203145173004239,2
0.4245315148834071,2
-0.07331577948911272,1
-0.45546782261647195,1
0.6891545813799083,2
0.15680919290566528,1
-2.7158954901714947,0
1.3700978643666955,2
0.5380775424741343,2
0.8259287608161164,2
0.07908958775009728,1
0.6997062732705497,2
-0.18413543417763034,1
1.3713628106931615,2
0.834772465325398,2
0.7620837989351638,2
0.25971404852663116,1
0.7792065866602009,2
-2.824295081905293,0
-0.7351934216631272,1
0.7435254245512941,2
0.8247621763783393,2
-0.4062938038127541,1
0.39593152689558075,1
0.6410078459656376,2
0.23990968259668252,1
-1.1702341147500144,1
-0.6141323762136274,1
-1.1674477065477453,1
0.7978477975085321,2
-2.1257455515959123,0
-1.037400616788124,1
0.5209144334936564,2
0.41896274573922876,1
0.16011545292766663,1
0.5431572979736222,2
0.418190208684312,1
-0.8551913604852559,1
-1.7231385278010112,0
0.46307820041834585,2
1.7913565729387388,2
1.4784304853012369,2
0.513147380590477,2
-2.7073498905728046,0
1.4115821762761898,2
0.5382201887866511,2
0.5333281086606019,2
0.4363978956932712,2
0.9652262039177372,2
-0.5887407714090802,1
-0.14793892027274083,1
0.4477528963813374,2
-1.7690194248879465,0
-0.05642084703292336,1
-0.5623934688162312,1
-0.10444861479040748,1
0.633368918185804,2
1.387091450596112,2
1.3733778995836543,2
-0.924007694811586,1
0.040660426676799775,1
-3.1409609225494814,0
1.1923646990686811,2
